21|Pelaaja Petteri75|070644-250S|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 53|11111 Pelilä|0|true|true| 
22|Pelaaja Petteri151|260654-378R|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 324|11111 Pelilä|0|true|true| 
23|Pelaaja Petteri148|180843-1223|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 374|11111 Pelilä|0|true|true| 
24|Pelaaja Petteri227|111016-1781|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 274|11111 Pelilä|0|true|true| 
25|Pelaaja Petteri140|130412-424C|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 64|11111 Pelilä|0|true|true| 
26|Pelaaja Petteri346|080832-201B|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 254|11111 Pelilä|0|true|true| 
27|Pelaaja Petteri324|020819-4472|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 109|11111 Pelilä|1|true|true| 
28|Pelaaja Petteri202|230680-793W|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 212|11111 Pelilä|2|true|true| 
29|Pelaaja Petteri268|250767-0367|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 225|11111 Pelilä|3|true|true| 
30|Pelaaja Petteri186|121192-185A|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 384|11111 Pelilä|4|true|true| 
31|Pelaaja Petteri212|080662-766P|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 188|11111 Pelilä|5|true|true| 
32|Pelaaja Petteri203|170115-925F|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 77|11111 Pelilä|6|true|true| 
33|Pelaaja Petteri304|080348-3143|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 41|11111 Pelilä|7|true|true| 
34|Pelaaja Petteri80|080736-6535|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 340|11111 Pelilä|8|true|true| 
35|Pelaaja Petteri278|150370-906C|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 51|11111 Pelilä|9|true|true| 
36|Pelaaja Petteri92|120595-507M|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 334|11111 Pelilä|10|true|true| 
37|Pelaaja Petteri186|100876-442S|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 93|11111 Pelilä|11|true|Paras Golfkerho| 
38|Pelaaja Petteri289|040418-0502|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 119|11111 Pelilä|12|true|Paras Golfkerho| 
39|Pelaaja Petteri3|191214-8211|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 153|11111 Pelilä|13|OK|Paras Golfkerho| 
40|Pelaaja Petteri70|160566-0876|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 3|11111 Pelilä|14|OK|Paras Golfkerho| 
41|Pelaaja Petteri233|230312-651B|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 303|11111 Pelilä|15|OK|Paras Golfkerho| 
42|Pelaaja Petteri269|160827-159V|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 353|11111 Pelilä|16|OK|Paras Golfkerho| 
43|Pelaaja Petteri|160545-123X|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 387|11111 Pelilä|17|OK|Paras Golfkerho| 
44|Pelaaja Petteri|140860-853F|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 96|11111 Pelilä|18|OK|Paras Golfkerho| 
45|Pelaaja Petteri|200406-675E|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 255|11111 Pelilä|19|OK|Paras Golfkerho| 
46|Pelaaja Petteri|260729-3783|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 154|11111 Pelilä|20|OK|Paras Golfkerho| 
47|Pelaaja Petteri|011129-0310|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 251|11111 Pelilä|21|OK|Paras Golfkerho| 
48|Pelaaja Petteri|270810-565N|5.4|000-9999999|petepelaaja@golffari.fi|Pelimiehenkuja 365|11111 Pelilä|22|OK|Paras Golfkerho| 
